기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2012,중랑구,200,160,30,10,104,-,"1,275","306,859","125,390","181,469","17,006,248",5,-,5,-,3
2012,성북구,220,203,9,8,4,-,698,"427,232","155,435","271,797","20,532,451",8,3,5,-,37
2012,강북구,201,168,14,19,79,4,"1,981","721,665","223,841","497,824","14,346,238",12,5,7,9,16
2012,도봉구,163,136,12,15,36,8,"1,477","327,782","135,776","192,006","8,774,864",4,-,4,21,35
2012,노원구,234,211,17,6,35,4,"38,549","312,087","160,771","151,316","18,942,909",10,1,9,13,9
2012,은평구,220,198,6,16,29,3,861,"212,311","93,181","119,130","5,067,717",3,1,2,9,36
2012,서대문구,173,150,11,12,45,1,"1,194","383,633","216,456","167,177","4,858,353",6,-,6,4,-
2012,마포구,209,181,7,21,83,-,539,"417,956","128,908","289,048","11,764,761",21,2,19,59,3
2012,양천구,209,191,5,13,4,1,404,"207,781","71,473","136,308","6,349,333",4,-,4,2,21
2012,강서구,282,263,7,12,83,3,"2,145","1,497,794","219,817","1,277,977","17,792,289",13,1,12,7,3
2012,구로구,213,179,15,19,70,4,"1,654","730,050","385,574","344,476","126,766,887",9,-,9,8,32
2012,금천구,164,150,4,10,59,2,401,"316,764","152,661","164,103","70,129,733",-,-,-,6,9
2012,영등포구,252,200,21,31,101,20,"1,728","1,666,505","290,697","1,375,808","177,456,497",17,1,16,25,14
2012,동작구,209,191,15,3,41,3,505,"228,588","104,732","123,856","28,606,559",5,-,5,9,52
2012,관악구,409,369,24,16,67,1,"1,540","684,512","333,205","351,307","6,382,123",10,2,8,1,29
2012,서초구,230,200,12,18,41,2,"1,560","786,738","280,787","505,951","60,786,891",15,-,15,9,14
2012,강남구,385,330,17,38,55,16,"2,862","1,488,431","524,197","964,234","33,242,512",16,3,13,27,84
2012,송파구,295,255,15,25,81,1,"2,772","1,357,774","660,653","697,121","16,677,769",13,-,13,3,21
2012,강동구,263,245,5,13,89,9,"1,435","505,568","190,494","315,074","25,660,913",8,1,7,18,3
2013,합계,"5,646","4,982",262,402,998,58,"39,306","21,495,228","6,814,090","14,681,138","1,504,175,168",233,31,202,153,401
2013,종로구,254,216,16,22,8,-,"2,090","1,165,759","381,341","784,418","20,362,771",3,1,2,-,3
2013,중구,190,152,10,28,26,3,"1,655","1,822,207","356,564","1,465,643","312,880",12,5,7,7,11
2013,용산구,170,136,12,22,12,-,601,"616,015","131,712","484,303","135,809,227",4,1,3,-,11
2013,성동구,185,165,8,12,21,1,"2,327","1,905,176","420,498","1,484,678","822,900,303",8,-,8,3,4
2013,광진구,214,196,7,11,15,1,579,"536,964","329,952","207,012","24,590,833",11,-,11,1,10
2013,동대문구,206,179,4,23,32,-,524,"388,330","189,387","198,943","8,180,365",4,-,4,-,2
2013,중랑구,158,122,18,18,76,1,902,"523,523","188,640","334,883","18,967,717",11,3,8,4,14
2013,성북구,204,188,4,12,1,-,707,"467,510","189,124","278,386","12,054,167",3,-,3,-,19
2013,강북구,229,211,9,9,99,5,"2,447","618,876","385,460","233,416","21,865,597",4,1,3,15,12
2013,도봉구,218,190,11,17,1,-,498,"247,014","84,748","162,266","2,282,703",2,1,1,-,2
2013,노원구,260,239,14,7,39,7,"2,951","355,997","194,393","161,604","29,410,750",5,-,5,16,6
2013,은평구,211,170,12,29,40,-,"1,115","388,688","130,805","257,883","3,504,309",12,-,12,-,33
2013,서대문구,221,199,14,8,20,-,601,"486,725","184,070","302,655","5,778,164",8,3,5,-,5
2013,마포구,226,196,9,21,57,-,566,"337,125","145,285","191,840","65,492,262",15,1,14,-,15
2013,양천구,233,212,3,18,8,-,728,"498,249","142,332","355,917","9,718,861",25,2,23,-,5
2013,강서구,242,221,11,10,48,4,"2,173","1,864,010","577,478","1,286,532","66,870,482",12,2,10,12,26
2013,구로구,238,215,10,13,84,8,"5,118","672,230","305,933","366,297","59,506,848",14,5,9,19,80
2013,금천구,144,124,6,14,44,5,622,"468,656","145,190","323,466","38,812,943",10,2,8,12,22
2013,영등포구,219,173,23,23,107,-,"1,753","3,250,696","482,826","2,767,870","51,436,789",13,2,11,2,10
2013,동작구,159,150,3,6,36,3,189,"171,598","54,378","117,220","4,845,213",2,-,2,8,4
2013,관악구,299,274,16,9,37,-,760,"437,716","208,345","229,371","12,814,526",8,-,8,-,26
2013,서초구,216,192,6,18,51,7,"5,171","920,692","455,988","464,704","23,954,034",5,-,5,16,5
2013,강남구,421,389,10,22,49,-,"1,900","2,261,935","726,994","1,534,941","33,106,490",21,-,21,-,13
2013,송파구,304,265,18,21,22,-,"2,644","698,886","251,768","447,118","15,060,660",15,1,14,-,37
2013,강동구,225,208,8,9,65,13,686,"390,651","150,879","239,772","16,536,274",6,1,5,38,26
2014,합계,"5,815","5,131",227,457,963,161,"36,528","20,052,979","6,674,887","13,378,092","971,050,895",301,36,265,369,435
2014,종로구,239,210,10,19,35,1,"1,697","1,395,325","354,650","1,040,675","8,414,153",1,-,1,2,17
2014,중구,233,198,9,26,33,25,"2,462","1,112,281","406,673","705,608","1,355,613",18,2,16,32,33
2014,용산구,208,184,2,22,18,-,183,"330,128","50,238","279,890","174,959,108",2,-,2,-,5
2014,성동구,204,185,6,13,19,1,952,"2,570,746","269,619","2,301,127","11,903,985",5,-,5,5,3
2014,광진구,244,221,10,13,31,3,605,"446,703","240,679","206,024","39,690,138",12,1,11,8,17
2014,동대문구,221,187,15,19,24,4,871,"674,748","144,211","530,537","12,386,951",21,3,18,4,15
2014,중랑구,193,167,8,18,77,7,"1,161","441,800","165,981","275,819","21,539,509",12,1,11,21,8
2014,성북구,175,156,4,15,19,21,"1,019","858,814","311,985","546,829","32,513,428",8,2,6,77,56
2014,강북구,189,171,10,8,81,1,805,"397,721","215,218","182,503","16,552,081",8,1,7,1,5
2014,도봉구,197,175,9,13,1,-,408,"265,253","87,309","177,944","6,017,923",6,1,5,-,2
2014,노원구,252,229,12,11,38,7,"4,647","864,136","496,931","367,205","194,783,490",20,2,18,11,3
2014,은평구,198,155,8,35,19,2,"1,512","338,505","138,268","200,237","4,501,370",11,4,7,4,41
2014,서대문구,212,188,8,16,16,-,455,"184,698","80,578","104,120","14,342,150",11,1,10,-,3
2014,마포구,250,224,6,20,62,1,614,"344,752","105,120","239,632","10,808,086",11,3,8,7,9
2014,양천구,209,181,4,24,8,7,"2,554","2,485,314","711,898","1,773,416","926,327",8,3,5,21,16
2014,강서구,306,284,6,16,22,4,"1,423","677,327","378,070","299,257","28,812,638",43,1,42,8,85
2014,구로구,180,151,11,18,56,-,"1,337","465,208","166,407","298,801","48,527,565",9,-,9,-,23
2014,금천구,126,110,4,12,41,-,"1,349","776,908","229,239","547,669","24,498,502",1,1,-,-,-
2014,영등포구,239,211,13,15,118,2,895,"566,276","244,972","321,304","51,644,520",10,2,8,4,14
2014,동작구,178,153,10,15,24,3,310,"244,248","77,754","166,494","76,097,467",8,-,8,6,2
2014,관악구,262,236,14,12,48,4,"2,861","631,556","291,292","340,264","7,001,434",16,2,14,6,16
2014,서초구,331,289,13,29,62,2,"1,986","1,260,146","548,867","711,279","72,159,931",8,1,7,6,10
2014,강남구,427,386,14,27,57,54,"4,106","1,364,100","469,791","894,309","34,107,713",18,1,17,115,23
2014,송파구,302,257,13,32,1,-,656,"772,125","215,485","556,640","62,161,911",18,3,15,-,10
2014,강동구,240,223,8,9,53,12,"1,662","584,161","273,652","310,509","15,344,902",16,1,15,31,19
2015,합계,"5,921","5,191",195,535,699,97,"53,787","14,337,272","6,079,645","8,257,627","518,364,712",249,27,222,223,414
2015,종로구,260,226,10,24,8,3,"1,462","566,923","203,662","363,261","13,229,001",9,4,5,3,5
2015,중구,237,215,5,17,8,19,"1,271","570,265","211,366","358,899","9,997,862",2,-,2,19,28
2015,용산구,187,158,4,25,2,1,549,"402,794","156,875","245,919","12,695,854",3,-,3,1,6
2015,성동구,197,174,6,17,7,2,792,"399,265","156,154","243,111","27,060,239",5,-,5,4,4
2015,광진구,241,218,4,19,10,1,"1,068","584,151","239,832","344,319","36,027,165",13,-,13,1,7
2015,동대문구,223,189,10,24,8,2,646,"486,322","111,844","374,478","11,391,878",18,1,17,4,1
2015,중랑구,175,142,4,29,32,1,"1,489","345,185","129,751","215,434","22,827,979",15,-,15,4,20
2015,성북구,151,124,6,21,45,3,677,"463,343","243,513","219,830","9,816,437",11,2,9,4,17
2015,강북구,178,156,7,15,61,-,520,"593,257","152,011","441,246","4,769,835",13,1,12,-,-
2015,도봉구,188,174,6,8,11,9,"1,429","644,091","320,265","323,826","16,227,655",16,3,13,23,33
2015,노원구,241,208,13,20,17,3,"20,625","436,980","239,029","197,951","21,535,541",25,-,25,12,10
2015,은평구,244,199,17,28,19,2,"3,431","404,665","149,403","255,262","8,598,777",3,-,3,3,45
2015,서대문구,215,198,3,14,21,10,704,"186,457","80,267","106,190","1,584,834",5,1,4,22,10
2015,마포구,251,216,5,30,52,2,511,"310,170","114,284","195,886","6,472,539",4,-,4,8,27
2015,양천구,218,195,8,15,11,-,349,"197,790","116,034","81,756","10,724,660",4,-,4,-,51
2015,강서구,301,252,10,39,22,-,948,"404,432","158,340","246,092","40,414,946",5,2,3,-,12
2015,구로구,221,196,7,18,48,-,"1,293","233,909","52,513","181,396","10,368,131",9,1,8,-,7
2015,금천구,131,113,4,14,38,-,515,"542,211","126,732","415,479","11,871,094",1,-,1,-,1
2015,영등포구,243,208,16,19,120,5,"2,350","801,965","350,329","451,636","17,886,707",13,3,10,8,11
2015,동작구,185,163,6,16,-,1,240,"134,842","55,490","79,352","7,697,290",8,-,8,4,2
2015,관악구,285,247,15,23,60,3,"1,506","721,101","357,890","363,211","14,163,126",14,5,9,9,48
2015,서초구,303,275,6,22,7,20,"4,929","1,368,008","672,197","695,811","31,562,127",8,3,5,70,3
2015,강남구,504,467,10,27,60,5,"3,899","2,645,324","1,329,303","1,316,021","87,944,191",19,-,19,13,43
2015,송파구,278,242,5,31,1,-,"1,050","563,905","196,833","367,072","75,634,213",22,1,21,-,15
2015,강동구,264,236,8,20,31,5,"1,538","329,917","155,728","174,189","7,862,631",4,-,4,11,8
2016,합계,"6,443","5,715",160,568,719,80,"34,041","14,154,490","5,975,254","8,179,236","675,275,998",276,40,236,181,307
2016,종로구,276,238,5,33,-,-,499,"394,813","120,049","274,764","3,354,937",12,2,10,-,4
2016,중구,210,194,6,10,21,3,964,"583,593","167,694","415,899","7,480,060",7,3,4,11,3
2016,용산구,197,160,1,36,1,-,740,"643,949","203,589","440,360","50,377,117",8,1,7,-,28
2016,성동구,182,160,1,21,19,-,"1,772","546,702","228,358","318,344","41,774,230",5,-,5,-,4
2016,광진구,215,186,2,27,21,-,887,"477,460","283,723","193,737","32,175,611",10,-,10,-,4
2016,동대문구,236,201,10,25,11,28,"2,067","1,266,913","462,344","804,569","13,059,361",15,3,12,44,19
2016,중랑구,195,165,4,26,31,-,925,"333,552","128,223","205,329","32,507,323",8,-,8,-,16
2016,성북구,194,156,4,34,28,7,777,"411,505","173,396","238,109","8,795,193",16,1,15,19,17
2016,강북구,170,135,9,26,77,-,"2,305","382,715","185,355","197,360","13,362,117",10,4,6,-,1
2016,도봉구,222,201,5,16,16,8,710,"360,498","212,943","147,555","9,041,637",10,5,5,33,41
2016,노원구,278,244,12,22,25,7,"1,045","350,936","203,253","147,683","5,759,774",16,1,15,11,1
2016,은평구,217,190,6,21,6,1,542,"237,240","114,031","123,209","230,644",8,2,6,3,13
2016,서대문구,227,202,4,21,21,6,555,"376,653","133,364","243,289","50,864,071",4,-,4,17,2
2016,마포구,283,246,5,32,44,1,759,"339,916","124,287","215,629","37,746,805",9,-,9,1,16
2016,양천구,229,214,5,10,13,-,507,"247,184","101,203","145,981","25,012,857",3,-,3,-,28
2016,강서구,372,335,2,35,34,-,"5,668","851,150","390,354","460,796","82,199,569",25,5,20,-,18
2016,구로구,247,222,5,20,44,-,962,"438,208","183,911","254,297","18,826,314",5,2,3,-,2
2016,금천구,173,152,11,10,35,-,230,"172,424","60,426","111,998","14,567,174",7,-,7,-,-
2016,영등포구,280,251,14,15,79,3,"2,109","778,114","318,781","459,333","35,492,657",8,1,7,5,15
2016,동작구,215,192,8,15,29,1,371,"180,967","95,501","85,466","40,666,158",3,-,3,3,6
2016,관악구,314,284,8,22,56,4,"1,836","653,587","362,566","291,021","19,557,568",21,1,20,13,37
2016,서초구,286,269,6,11,-,-,"3,255","845,569","288,442","557,127","21,268,609",14,3,11,-,8
2016,강남구,589,551,8,30,72,9,"2,567","2,303,012","1,041,431","1,261,581","56,155,739",30,5,25,19,15
2016,송파구,325,281,14,30,10,1,987,"556,955","242,708","314,247","36,615,020",11,1,10,1,7
2016,강동구,311,286,5,20,26,1,"1,002","420,875","149,322","271,553","18,385,453",11,-,11,1,2
