기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2011,양천구,230 ,192 ,14 ,24 ,44 ,2 ,934 ,509373 ,251054 ,258319 ,15676664 ,11 ,2 ,9 ,4 ,19 
2011,강서구,353 ,323 ,14 ,16 ,92 ,1 ,1993 ,933933 ,571765 ,362168 ,39000389 ,15 ,4 ,11 ,1 ,55 
2011,구로구,194 ,167 ,16 ,11 ,58 ,-,610 ,385002 ,179069 ,205933 ,22345364 ,5 ,-,5 ,-,4 
2011,금천구,161 ,133 ,13 ,15 ,59 ,1 ,432 ,424155 ,192894 ,231261 ,20008977 ,8 ,-,8 ,2 ,4 
2011,영등포구,214 ,178 ,17 ,19 ,68 ,20 ,772 ,365126 ,153245 ,211881 ,27167985 ,12 ,1 ,11 ,32 ,29 
2011,동작구,197 ,176 ,18 ,3 ,60 ,16 ,612 ,486435 ,224091 ,262344 ,10456632 ,6 ,2 ,4 ,33 ,19 
2011,관악구,282 ,242 ,29 ,11 ,73 ,-,1732 ,524799 ,284553 ,240246 ,4317413 ,15 ,4 ,11 ,-,16 
2011,서초구,235 ,199 ,14 ,22 ,61 ,2 ,5157 ,554157 ,249867 ,304290 ,36912914 ,4 ,-,4 ,6 ,16 
2011,강남구,420 ,362 ,26 ,32 ,95 ,81 ,5038 ,1603399 ,802810 ,800589 ,28293547 ,14 ,2 ,12 ,144 ,84 
2011,송파구,337 ,284 ,28 ,25 ,119 ,-,1055 ,622681 ,228641 ,394040 ,14081426 ,9 ,1 ,8 ,-,2 
2011,강동구,232 ,204 ,22 ,6 ,71 ,2 ,910 ,365623 ,119872 ,245751 ,26826488 ,3 ,1 ,2 ,5 ,2 
2012,합계,5724 ,4970 ,294 ,460 ,1359 ,131 ,78095 ,17414726 ,6132231 ,11282495 ,827057163 ,277 ,31 ,246 ,260 ,474 
2012,종로구,245 ,219 ,3 ,23 ,48 ,31 ,2522 ,900050 ,278168 ,621882 ,14818740 ,32 ,4 ,28 ,3 ,1 
2012,중구,196 ,163 ,5 ,28 ,25 ,-,1876 ,1330752 ,301066 ,1029686 ,10429915 ,5 ,2 ,3 ,-,3 
2012,용산구,150 ,106 ,11 ,33 ,37 ,7 ,1008 ,461363 ,168490 ,292873 ,28231890 ,13 ,2 ,11 ,11 ,15 
2012,성동구,197 ,168 ,10 ,19 ,60 ,1 ,1424 ,966796 ,411546 ,555250 ,74244404 ,20 ,2 ,18 ,2 ,5 
2012,광진구,217 ,184 ,13 ,20 ,48 ,-,7130 ,660859 ,337308 ,323551 ,19087046 ,7 ,1 ,6 ,-,10 
2012,동대문구,188 ,150 ,6 ,32 ,35 ,10 ,557 ,514876 ,181605 ,333271 ,9100121 ,21 ,-,21 ,14 ,19 
2012,중랑구,200 ,160 ,30 ,10 ,104 ,-,1275 ,306859 ,125390 ,181469 ,17006248 ,5 ,-,5 ,-,3 
2012,성북구,220 ,203 ,9 ,8 ,4 ,-,698 ,427232 ,155435 ,271797 ,20532451 ,8 ,3 ,5 ,-,37 
