뉴스 식별자,본문
01100401.20200717030222002,"서울시와 서울시내 캠퍼스타운 사업 참여 대학이 포스트코로나 시대 유망 스타트업 발굴에 나선다. 
 
 서울시는 이달부터 스타트업 경진대회 3건을 잇달아 개최한다고 16일 밝혔다. 경진대회는 서울대, 고려대 등 캠퍼스타운 사업에 참여하는 11개 대학과 함께 기획했다. 
 
 서울시는 공공과 대학, 민간이 협력해 청년창업을 육성하고 지역상생 발전을 유도한다.."
01100401.20200717030210001,"“이론을 어디다 써먹냐.” 이론물리학을 공부하는 학생들이 곧잘 듣는 얘기다. 물리학은 실험과 이론 분야로 나뉘는데, 실험 쪽 학생들은 졸업 후 대기업에 쉽게 취직하지만, 이론 쪽 학생들은 그렇지 못하다. 그런데 얼마 전 내 연구실 옆방 이론물리학자 김 박사 밑에서 블랙홀을 공부하던 학생이 대한민국의 대표적인 포털 기업에 취직했다. 
 
 세상이 바뀌었다.."
01100701.20200717030147001,"한국수자원학회와 한국수자원공사가 공동 주최한 ‘물인프라 시설관리분야 스마트기술 워크숍’에서 참석자들이 주제발표를 이어가고 있다 한국수자원공사(사장 박재현)는 16일 오후 서울시 강남구 건설회관에서 한국수자원학회(회장 전경수)와 공동으로 ‘물 인프라 시설관리분야 스마트기술 워크숍’을 개최했다. 
 
 이번 워크숍은 점차 노후 되고 있는 물 인프라의 효율적.."
01300201.20200717024252001,우리 사회 경제 전반에 심대한 영향을 미치고 있는 코로나19는 이전에 담론 수준에 머물던 논제들을 단숨에 현안으로 부상시켰다. 그중 하나가 긴급재난지원금으로 관심이 높아진 '기본소득(Basic Income)'이다. 코로나19로 인한 경제적 타격이 장기화하고 일자리가 기존 수준으로 회복되지 않을 것이란 부정적 전망이 제시되면서 포스트 코로나 시대에 사람들..
01600301.20200717020110002,"전남도가 ‘한국판 뉴딜’ 추진과 관련 민선 7기 내세운 새천년 비전 ‘청정 전남, 블루 이코노미’와 연계해 광양항 스마트항만 구축, 도내 산업단지의 저탄소 지능형 소재 부품 특화단지로의 혁신, 8.2GW 대규모 해상풍력 발전단지 조성 등 프로젝트들의 추진을 본격화하기로 했다. 이를 위해 조만간 ‘한국판 뉴딜 추진 전라남도 전담팀(T/F)’을 구성할 예정.."
01400701.20200717010123001,"[충청투데이 이정훈 기자] 재선 후 취임 2주년을 맞은 설동호 대전교육감은 '행복한 학교, 미래를 여는 대전교육' 목표 실현 아래 내실 있는 교육정책 마련에 힘쓰고 있다. 설 교육감은 '교육은 학생이 중심이 돼야 한다'는 철칙을 내세워 지난 2년간 이를 뒷받침할 창의ㆍ융합형 인재육성에 매진했다고 되짚었다. 현재 코로나19 상.."
01400701.20200717010001004,"[충청투데이 나운규 기자] 충남교육청은 한국기술교육대학교와 인공지능(AI)의 4차 산업혁명시대 미래교육을 위한 상호교류 업무협약을 체결했다고 16일 밝혔다. 

이번 업무협약에서 양 측은 △과학ㆍ기술ㆍ산업 분야의 상호협력을 위한 인적교류 및 시설 이용 △인공지능 분야 대학원 석사과정 운영에 관한 협력 △인공지능 교원연수 및 연구에 필요한 시설 및 인적교.."
01300101.20200717001606001,"■ 춘천 인쇄디자인전문협동조합 창립 

춘천지역 인쇄ㆍ출판사 5개 업체가 모여 최근 창립총회를 열고 ‘인쇄디자인전문협동조합컨셉’을 창립했다.인쇄디자인전문협동조합컨셉은 경기도 등 수도권으로 유출되는 수주 물량을 지역업체들이 확보하고 공동 인쇄공장을 구축,다함께 상생할 수 있는 기반 마련을 위해 창립됐다.초대 이사장은 강원선(46ㆍ사진) 중앙기획 대표가 추.."
01200201.20200717221847001,"인천시교육청, 11개과 전공 바꿔 
청학공고 등 3곳 내년 교명 변경 
 
인천시교육청이 인공지능, 바이오, 소방안전 관련 신산업 유망직종 분야의 학과를 신설 개편하는 등의 특성화고 학과개편을 추진한다고 16일 밝혔다. 
 
대중예술고로 전환되는 인천하이텍고등학교와 교육부의 직업계고 재구조화 사업에 선정된 8개교 등 9개 학교에 1개 학과를 신설하고 1.."
01500401.20200717221003001,"- 시설물 관리정보 등 한곳에 모아
- 수집 가공 사업으로 일자리 창출
- 연내 민관 합동 컨트롤타워 설치
- 플랫폼 기업 ‘배 불리기’ 우려도

정부가 올해 추경부터 2022년까지 국비 18조6000억 원을 투자하는 ‘한국판 뉴딜 종합계획’의 핵심 사업은 ‘데이터 댐’이다.
데이터 댐이란 정밀도로지도, 안전 취약시설물 관리 정보 등 공공 데이터를 수자.."
01200101.20200717200549001,"파주 세경고등학교(교장 이준화)가 경기도 기능경기대회에서 5개 직종 19명의 선수가 출전해 금메달 2, 은메달 1, 동메달 3, 우수상 2개를 수상하는 쾌거를 이뤘다. 

6월22일부터 7월4일까지 56개 직종, 809명이 겨룬 기능경기대회에서 세경고는 △산업용로봇 직종(지도교사 박장순)에서 금메달(3학년 정지우), 동메달(2학년 장세진), 우수상(3학.."
01100201.20200717185720001,수학자인 저자가 “실존적 위기를 겪게 된 계기”라고 밝힌 장면은 우리에게도 더 없이 친숙하다. 2016년 3월 9일부터 15일까지 열린 이세돌과 ‘알파고’의 다섯 차례 바둑 대국이 그것이다. 저자의 말을 빌리자면 “바둑은 컴퓨터가 수학의 영역에 침범하지 못하게 막아주는 보호막”이었다. 97년 IBM의 슈퍼컴퓨터 ‘딥 블루’가 체스 그랜드마스터 가리 카스..
02100501.20200717175219001,"디지털 강화, 하반기 주요 과제로 

 

 
지방은행들이 '포스트 코로나' 시대를 대비하기 위해 하반기 주요 과제로 '디지털 전환'에 방점을 찍었다. 언택트(비대면) 금융이 빠른 속도로 확산되고 있는 상황 속에서 디지털 경쟁력 강화가 시급하다는 판단에서다.
 

 
16일 금융권에 따르면 BNK금융은 최근 하반기 경영전략회의를 열고 디지털 부문 경쟁력.."
02100501.20200717174918003,"트랜스포머, 산 안드레아스, 엑스맨. 이 세 가지 블록버스터 영화엔 공통점이 있다. 후버 댐(Hoover Dam)이 나온다. 트랜스포머에선 디셉티콘 진영의 로봇 '메가트론'이 후버 댐에서 모습을 드러낸다. 재난영화인 산 안드레아스에선 이 댐이 무너지는 장면을 연출했다. 엑스맨의 인기 히어로 '울버린'의 탄생 배경지이기도 하다. 후버 댐은 1936년 미국.."
02100501.20200717174143001,"AI 학습으로 유명인 목소리 완벽 구현 
김태수 네오사피엔스 대표 
목소리 데이터로 발음법 학습 
화면에 글자 치면, 성우처럼 
억양 감정 넣어 말하도록 AI학습 
게임해설 뉴스 교육 콘텐츠 제작 

 

 

 
 
 
 
 
 
 김태수 네오사피엔스 대표가 서울 양재동 R&D 혁신 허브에 입주한 사무실에서 음성합성기술을 설명하고 있다. 사진=서동일기.."
01600301.20200716020102005,"신안군이 정보통신기술(ICT)을 접목한 의료 건강관리 서비스를 도입한다.
16일 신안군에 따르면 ICT 기반 방문간호 원격 협진, 모바일 헬스케어, 어르신 건강관리 서비스, 증강현실(AR) 기반 원격 협진 등의 사업을 하반기부터 추진한다.
이는 국비 지원 공모사업으로 진행된다.
‘방문간호 원격 협진’은 방문간호사가 환자 가정에 직접 찾아가 태블릿PC 화.."
01400201.20200716230122004,"선병원은 올해 인공지능 음성인식 의무기록 기능과 비대면 방역 로봇 등 첨단 스마트 기술을 추가 도입했다고 16일 밝혔다.
선병원은 진료시스템 및 환경의 큰 개선을 위해 음성인식 인공지능(AI)을 기반의 '보이스 EMR'를 도입했다. 보이스 EMR은 외래나 입원 등 모든 환자 수술기록, 시술기록, 판독기록뿐 아니라 다양한 서식을 포함한 모든 EMR과 호환.."
01100701.20200716223735001,"4차 산업혁명 시대에는 인공지능, 로봇공학, 자동화가 업무 현장에서 급속도로 확장되는 상황이 시작되었다. 이러한 추세는 많은 조직이 예상했던 것보다 훨씬 더 빠르게 확산되고 있다. 아울러 세계 유수 기업들은 첨단기술이 인간을 대체하지 않고 보완할 때 가장 효과적이라는 점을 인식하고 있다. 
 
 이러한 기술력이 업무 현장에 스며들면서 비판적 사고, 창의.."
07100501.20200716221317001,"도서출판 성안당은 자연어 처리에서 가장 주목받는 신경망 알고리즘 순환 신경망(RNN?Recurrent Neural Network,)과 강화학습 기법으로 정확도를 높인 심층 Q-네트워크(DQN?Deep Q-Network)를 엑셀로 쉽게 소개한 입문서를 발간했다.

'엑셀로 배우는 순환 신경망?강화학습 초(超)입문 [RNN?DQN편]'은 '엑셀로 배우는 딥.."
01400351.20200716220337002,"과학기술연합대학원대학교(UST)가 교육 연구 경쟁력 강화를 위해 2020학년도 후기 신임교수 22명을 임용했다. 16일 UST에 따르면 이번에 임용된 교수들은 한국생명공학연구원(KRIBB), 한국전자통신연구원(ETRI), 한국지질자원연구원 등 총 10개 기관 소속 연구원으로 인공지능(AI) 빅데이터 바이오 등 다양한 분야 전문가로 구성됐다. 최진수 교수.."
01400501.20200716215819002,"물 인프라 시설관리분야 스마트기술 워크숍을 진행중인 모습. 사진=한국수자원공사한국수자원공사는 한국수자원학회와 공동으로 ‘물 인프라 시설관리분야 스마트기술 워크숍을 개최했다고 16일 밝혔다. 

이번 워크숍은 점차 노후 되고 있는 물 인프라의 효율적인 안전진단 및 유지관리에 활용할 4차산업혁명기술 기반의 핵심 스마트기술들을 소개하고 적용방안을 논의하기 위.."
07100501.20200716212209001,“한국판 뉴딜과 블루 이코노미는 포스트 코로나 시대에 전남 미래 발전의 밑거름이 되는 절호의 기회가 될 것이다.” 김영록 전남도지사는 16일 “최근 정부가 발표한 한국판 뉴딜 종합계획에 전남서 추진중인 블루 이코노미 세부 전략이 대거 반영돼 구상중인 사업이 한층 탄력을 받게 됐다.”고 밝혔다. 전남 블루 이코노미는 지역의 풍부한 '블루 자원'과 4차 산..
01100701.20200716203339001,프로야구 삼성 허삼영 감독은 한 팀에서 오래 몸담으며 전력분석 전문가로 활동한 경력을 앞세워 적재적소에 새 얼굴을 기용해 좋은 결과를 도출하는 용병술로 주목받고 있다. 이에 팬들은 허 감독을 인공지능 ‘알파고’에 빗대 ‘허파고’라고 부를 정도다. 특히 지난 7일에는 4위까지 팀 순위를 끌어올리기도 해 2015년 이후 못 누렸던 삼성의 가을야구 진출에 대..
01100201.20200716191313001,"한국거래소는 코스닥 상장기업인 디오스텍에 대해 7월 17일부터 조회결과 공시후 30분 경과시점까지 보통주에 대한 주권매매 거래정지를 조치한다고 16일 공시했다. 
 
이번 주권매매 거래정지 사유는 풍문 또는 보도 관련이다. 
 
한편, 디오스텍은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 411원, 거래량은 1,206,514주로, 직전 거래일.."
01100201.20200716191209001,"거래소는 16일 디오스텍에 전 대표이사 약 40억원 규모 배임혐의설의 사실여부 및 구체적인 내용에 대한 조회공시를 요구했다. 답변은 다음날 오후 6시까지다. 
 
한편, 디오스텍은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 411원, 거래량은 1,206,514주로, 직전 거래일 대비 1원(+0.24%) 상승했다. 
 
공시 전문으로 이동 
 .."
01600201.20200716190020001,"정부가 최근 발표한 ‘한국형 뉴딜’ 정책 흐름에 발맞춰 전남도는 민선7기 핵심시책인 ‘블루이코노미’ 집중 육성에 속도를 낸다. 포스트 코로나 시대를 대비한 신성장 동력산업에 대한 아낌없는 지원을 통해 미래 먹거리 시장 선점에 한 발짝 앞서간다는 계획이다.

김영록 전남지사는 16일 정부의 한국판 뉴딜 정책에 따른 전남도 대응방안을 발표했다.

도는 오는.."
01600801.20200716183212001,"우린 지금 '언택트(Untact)'의 시대를 맞이하고 있다. 언택트란 '비접촉', '비대면'을 의미한다. 지구촌을 마비시키고 인류를 공포로 빠뜨린 코로나19는 '불안한 접촉'보단 '안전한 단절'을 요구하고 있다.
언택트는 우리의 일상생활과 의식주, 사회적 관계, 공동체까지 모든 분야를 바꾸고 있다. 비대면 선거운동, 원격교육, 재택근무, 언택트 소비, .."
01600801.20200716182239001,"'미래는 예측하는 것이 아니라 만들어가는 것이다'라는 말은 예측하는 사람이 보여주는 방향에 의해서가 아니라, 미래를 위해 구체적으로 계획하고 실행하는 사람들에 의해서 이루어진다는 의미일 것이다.
코로나19는 우리가 겪어보지 않은 세상이지만 그렇다고 전혀 예상할 수 없었던 상황이 아니었다. 출구가 막혀있는 터널도 아니다. 산업의 발전과 함께 폭발적으로 증.."
01600801.20200716180743001,"'코로나19'는 산업 생태계를 바꿔 놓았다. 산업 전반이 위축됐지만, 인공지능(AI) 등 4차 산업혁명의 기술 발전은 가속화되고 비대면 산업이라는 새로운 기회를 만들었다. '포스트 코로나' 시대에는 4차 산업혁명의 핵심인 인공지능 기술의 힘은 더욱 커지게 된다.
이러한 흐름 속에서 광주시가 역점 사업으로 추진해온 '인공지능 (AI) 중심도시 조성 사업'.."
01600801.20200716180741001,"코로나19는 우리들의 생활방식에 많은 영향을 미치고 있다. 대면 활동이 위축되면서 '언택트 소비'가 일상을 파고들고 있다. 언택트 소비는 사람과 접촉하지 않고 모바일 등 첨단기기를 활용해 상품이나 서비스를 구입하는 것을 의미한다. 언택트 소비뿐만 아니라 스마트행정, 무인점포, 원격진료, 재택근무, 온라인수업 등 여러 분야에서 이른바 비대면 경제가 주목받.."
02100201.20200716180633001,"[머니투데이 대학경제 임홍조 기자] 선문대학교가 16일 아산캠퍼스 대회의실에서 세종특별자치시교육원과 소프트웨어와 인공지능 교육을 강화하기 위한 업무협약(MOU)을 체결했다.

이번 협약을 계기로 선문대 SW중심대학사업단은 세종시의 학생, 학부모, 교사를 대상으로 SW교육을 진행한다. 

이 교육은 사업단의 'SW가치확산프로그램' 중 하나로, 선문대는 코.."
02100201.20200716180632001,"[머니투데이 대학경제 송하늘 기자] 경일대학교 대학일자리센터는 최근 '언택트 집콕! AI면접 경진대회'의 시상식을 진행했다고 16일 밝혔다.

앞서 경일대 대학일자리센터는 기업의 인공지능 면접에 대비한 훈련을 위해 AI면접 경진대회를 실시했다. 

참가 학생들은 인터넷이 가능한 각자의 장소에서 인공지능 기반 면접 응시사이트에 접속, 비대면 면접을 치렀다.."
01400601.20200716175646001,"[충청일보 박보성기자] 충남교육청은 지난 15일 제1회의실에서 한국기술교육대학교(총장 이성기)와 인공지능(AI)의 4차산업혁명시대 미래교육을 위한 상호교류 업무협약을 체결했다고 17일밝혔다. 

업무협약을 통해 △과학ㆍ기술ㆍ산업 분야의 상호협력을 위한 인적교류 및 시설 이용△인공지능 분야 대학원 석사과정 운영에 관한 협력△인공지능 교원연수 및 연구에 필.."
01100201.20200716174727001,"에이루트는 ㈜비타컴퍼니 및 특별관계자의 지분율이 6.74%에서 11.22%로 변동했다고 16일 공시했다. 한편, 에이루트는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 4,710원, 거래량은 49,872주로, 직전 거래일 대비 50원(+1.07%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인.."
01100201.20200716174309002,"이노와이즈는 불성실공시법인으로 지정됐다고 16일 공시했다. 
 
불성실공시법인으로 17일에 지정되며 사유는 공시번복이다. 
 
이노와이즈는 전환사채권 발행결정 번복(납입대금 미납)으로 지난 23일에 불성실공시법인으로 지정 예고된 바 있다. 
 
이노와이즈는 최근 1년간 불성실 공시로 7.5점 부과벌점을 받았다. 
 
한편, 이노와이즈는 거래정지 상태이다.."
01100201.20200716174309001,"아이엠텍은 불성실공시법인으로 지정됐다고 16일 공시했다. 
 
불성실공시법인으로 17일에 지정되며 사유는 공시번복이다. 
 
아이엠텍은 제3자배정 유상증자결정 철회로 지난 23일에 불성실공시법인으로 지정 예고된 바 있다. 
 
아이엠텍은 최근 1년간 불성실 공시로 6.5점 부과벌점을 받았다. 
 
한편, 아이엠텍은 거래정지 상태이다. 
 
공시 전문으로.."
01100201.20200716174206002,"엔지스테크널러지는 불성실공시법인으로 지정됐다고 16일 공시했다. 
 
불성실공시법인으로 17일에 지정되며 사유는 공시불이행이다. 
 
엔지스테크널러지는 주권관련 사채권의 취득결정(종속회사의 주요경영사항)
 지연공시로 지난 30일에 불성실공시법인으로 지정 예고된 바 있다. 
 
엔지스테크널러지는 최근 1년간 불성실 공시로 0.0점 부과벌점을 받았다. 
 .."
01100201.20200716174206003,"이건홀딩스는 불성실공시법인으로 지정됐다고 16일 공시했다. 
 
불성실공시법인으로 17일에 지정되며 사유는 공시불이행이다. 
 
이건홀딩스는 타인에 대한 채무보증 결정 지연공시로 지난 1일에 불성실공시법인으로 지정 예고된 바 있다. 
 
이건홀딩스는 최근 1년간 불성실 공시로 2.0점 부과벌점을 받았다. 
 
한편, 이건홀딩스는 장 마감 이후 해당 기업.."
02100101.20200716174028001,"금융위원회가 금융 분야 인공지능(AI) 활성화를 위해 'AI 데이터 라이브러리'와 'AI 테스트베드(시험시스템)' 등 기반 구축에 본격적으로 나선다. 신용정보법 개정으로 방대한 금융데이터를 활용할 길이 열린 만큼, AI 기술로 이를 정교하게 분석할 수 있도록 기반을 마련해 새로운 시장을 창출한다는 전략이다.
금융위는 16일 기업과 학계 등이 참여하는 워.."
02100101.20200716173610002,"로보어드바이저 파운트가 투자 고객에 연 5% 수익률을 제공하는 종합자산관리계좌(CMA) 개설 이벤트를 실시한다. 
인공지능 자산관리 리딩기업 파운트는 로보어드바이저 기반의 자산관리 서비스 앱 '파운트' 출시 2주년을 맞아 '따박따박 챌린지'를 진행한다고 16일 밝혔다. '따박따박 챌린지'는 파운트 앱을 통해 '파운트x신한금융투자 CMA(RP형)' 계좌 .."
01100201.20200716173128001,"7월 16일 목요일, 오후 날씨입니다. 
 
이 시간 현재 대부분 지방이 맑은 날씨를 보이고 있고, 서울 경기 강원 지방은 구름이 많으며, 전남 제주 지방은 흐린 날씨를 보이고 있습니다. 
 
현재 기온은 서울 29도, 인천 27도, 수원 28도, 춘천 29도, 강릉 26도, 청주 28도, 대전 28도, 전주 27도, 광주 28도, 대구 29도, 부산 .."
01100201.20200716173127001,"스킨앤스킨은 거래소의 '현 임직원신규사업 총괄 고문에 대한 조회공시 요구'에 대해 현재 검토 중인 사안으로 아직 확정된 바 없으며, 추후 구체적으로 확정되면 발표하겠다고 16일 공시했다. 
 
한편, 스킨앤스킨은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 263원, 거래량은 0주로, 직전 거래일 대비 변동이없다. 
 
공시 전문으로 이동 
 .."
01100201.20200716172609001,"비디아이는 김일강 및 특별관계자의 지분율이 10.37%에서 4.9%로 변동했다고 16일 공시했다. 한편, 비디아이는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 9,230원, 거래량은 5,086,245주로, 직전 거래일 대비 80원(+0.87%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을.."
01100201.20200716172052001,"에이루트는 DB무역 및 특별관계자의 지분율이 0%에서 5.04%로 변동했다고 16일 공시했다. 한편, 에이루트는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 4,710원, 거래량은 49,872주로, 직전 거래일 대비 50원(+1.07%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 .."
01100201.20200716171531001,"한미반도체는 곽동신 및 특별관계자의 지분율이 54.72%에서 53.39%로 변동했다고 16일 공시했다. 한편, 한미반도체는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 8,910원, 거래량은 506,206주로, 직전 거래일 대비 230원(-2.52%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관.."
01100201.20200716171008001,"거래소는 16일 정다운에 현저한 시황변동 관련 사항에 대한 조회공시를 요구했다. 답변은 다음날 오후 6시까지다. 
 
한편, 정다운은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 2,780원, 거래량은 20,940,633주로, 직전 거래일 대비 295원(+11.87%) 상승했다. 
 
공시 전문으로 이동 
 
스톡봇 기자 
 
※ 이 기사는 국.."
02100601.20200716164700001,"정부가 1조원 규모의 '스마트 대한민국펀드'를 조성해 비대면, 바이오, 그린뉴딜 분야에 투자한다. 2025년까지 6조원 규모로 조성되며, 향후 2만5000개의 일자리를 창출할 것으로 중소벤처기업부는 기대하고 있다. 
 
중기부 보건복지부 환경부는 16일 정부서울청사에서 이같은 '스마트 대한민국펀드 조성 운영계획'을 발표했다. 
 
펀드의 투자 분야는 비.."
01400401.20200716164415001,"- ""4차 산업 리더 핵심 역량은 '창의 융합 빅데이터'"" 
 
최윤규 카툰경영연구소 소장이 16일 청주 그랜드플라자 호텔에서 '인문&상상, 융합의 탄생'이란 주제로 강의를 펼치고 있다. / 안성수[중부매일 안성수 기자] 사단법인 스마트경영포럼(회장 김해수)은 16일 청주 그랜드플라자 호텔에서 충북 기업인들의 경영지식정보 교류와 건전한 기업문화 확산을 .."
01100201.20200716163717001,"SK가스는 에스케이디스커버리(주) 및 특별관계자의 지분율이 66.1%에서 67.93%로 변동했다고 16일 공시했다. 한편, SK가스는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 75,400원, 거래량은 17,554주로, 직전 거래일 대비 1,400원(+1.89%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황.."
01100201.20200716162947002,"THE E&M은 (주)제이앤제이인베스트먼트 및 특별관계자의 지분율이 0%에서 8.94%로 변동했다고 16일 공시했다. 한편, THE E&M은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 707원, 거래량은 634,858주로, 직전 거래일 대비 4원(+0.57%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고.."
01100201.20200716162635001,"이그잭스는 (주)제이앤제이인베스트먼트 및 특별관계자의 지분율이 25.29%에서 17.04%로 변동했다고 16일 공시했다. 한편, 이그잭스는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,665원, 거래량은 603,319주로, 직전 거래일 대비 50원(-2.92%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황.."
01100201.20200716161149001,"체리부로는 거래처한국캐피탈에서 대출예정인 당사 및 종속회사의 거래처가 한국캐피탈로부터 빌린 90억원에 대해서 채무보증을 결정했다고 16일 공시했다. 
 
채무보증 금액은 자기자본(959억원) 대비 9.39% 수준이며, 보증 기간은 2021년 7월 16일까지다. 
 
한편, 체리부로는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 2,760원, 거.."
02100851.20200716161055001,"? 
 
세종텔레콤의 V커머스 뷰티 플랫폼 왈라뷰(wallaVU)는 서비스 론칭 1주년을 기념해 '듣도 보도 못한 차별화된 뷰티 경험을 제공하기 위해 왈라뷰 사이트 및 전용 모바일 애플리케이션(이하 앱)을 전면 개편하고, 이를 기념하는 이벤트를 오는 18일까지 진행한다. 
 
새롭게 개편된 왈라뷰 2.0의 핵심은 전용 앱에 추가된 컬러 큐레이션 서비스인.."
01101001.20200716160802002,"곽정수

 논설위원

 정부여당이 주택 공급을 늘리기 위해 서울의 그린벨트를 일부 해제하는 방안을 검토 중이다. 7 10 대책에서 부동산 세제를 대폭 강화했지만, 주택 공급은 여전히 미흡하다는 지적에 따른 것이다. ‘금기’처럼 여겨온 서울의 그린벨트까지 손대려는 것을 보면, 정말 다급한 것 같다.

 이런 모습을 보니 2년 전인 2018년 4월의 일이 .."
01100201.20200716160731001,"포인트엔지니어링은 송성근 및 특별관계자의 지분율이 11.94%에서 10.35%로 변동했다고 16일 공시했다. 한편, 포인트엔지니어링은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 3,775원, 거래량은 1,889,382주로, 직전 거래일 대비 30원(+0.8%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고.."
01100201.20200716155342001,"신라교역은 박영옥 및 특별관계자의 지분율이 5.1%에서 5.7%로 변동했다고 16일 공시했다. 한편, 신라교역은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 10,100원, 거래량은 3,548주로, 직전 거래일 대비 변동이없다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장.."
07101201.20200716155038001,"인공지능(AI) 기반 문자인식(OCR) 솔루션 전문기업 로민(대표 강지홍)이 국내 주요 기업들이 개방형 혁신 전략의 일환으로 추진 중인 스타트업 협업 프로그램에 잇달아 선정되는 쾌거를 이뤘다고 16일 밝혔다. 



로민은 현대차그룹 '제로원 엑셀러레이터 2020' 1차 스타트업, 교보생명 '이노스테이지' 2기 스타트업, KB국민카드 '퓨처나인' 4기 .."
01100201.20200716154513001,"인베니아는 단기차입금을 100억원 늘리기로 결정했다고 16일 공시했다. 
 
차입목적은 운영자금 확보이며, 차입형태는 무보증 사모사채이다. 
 
차입금액 100억원은 자기자본의 22.16% 수준이며, 차입 이후 단기차입금 총액은 555억원이다. 
 
한편, 인베니아는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,870원, 거래량은 393,5.."
01100901.20200716154213001,"다양한 사회활동가로 열정적인 삶을 이어온‘비타에듀’의 문상주 회장이‘앞으로 5년 세계 5위의 코리아’(책읽는사람들 출판)를 출간했다. 
 
 이 책은 대한민국의 밝은 미래 리포트다. 저자가 일생에 걸쳐 헌신해온 유라시아 평화열차 프로젝트, 한류 활성화, 인공지능(AI) 육성, 중소상공인 지원 등을 통해 대한민국의 국력과 국운이 앞으로 5년 안에 세계 5.."
01100201.20200716154159001,"영화테크는 엄준형 및 특별관계자의 지분율이 49.19%에서 49.14%로 변동했다고 16일 공시했다. 한편, 영화테크는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 15,500원, 거래량은 254,437주로, 직전 거래일 대비 450원(-2.82%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계.."
01100201.20200716154057002,"경동제약은 보통주 1주당 100원을 현금으로 균등 배당한다고 16일 공시했다. 
 
이번 배당은 중간배당으로 보통주 외 다른 주식에 대해서는 배당을 하지 않으며, 총배당금은 23억원이다. 
 
배당기준일은 2020년 6월 30일이며, 주주총회를 통해서 확정할 예정이다. 
 
한편, 경동제약은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 9,60.."
01100201.20200716153744002,"아이텍은 카르니아 투자조합 및 특별관계자의 지분율이 0%에서 9.41%로 변동했다고 16일 공시했다. 한편, 아이텍은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 6,300원, 거래량은 178,911주로, 직전 거래일 대비 370원(-5.55%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을.."
01100201.20200716153643002,"16일 코스닥(775.07p, -6.22p, -0.80%)은 기관 매도 우위 속에 전 거래일보다 -6.22p 하락한 775.07p로 장을 마감했다. 투자자별 동향을 살펴보면 기관은 1,682억원 순매도했으며, 외국인도 1,424억원 순매도했다. 개인은 3,638억원 순매수했다. 
 
 
 
업종별로는 운송장비 부품(+2.35%)과 종이 목재(+1.87%.."
01100201.20200716153643001,"16일 코스피(2,183.76p, -18.12p, -0.82%)는 기관 매도 우위 속에 전 거래일보다 -18.12p 하락한 2,183.76p로 장을 마감했다. 투자자별 동향을 살펴보면 기관은 1,844억원 순매도했으며, 외국인도 1,333억원 순매도했다. 개인은 3,012억원 순매수했다. 
 
 
 
업종별로는 보험(+2.19%)과 증권(+1.63%) .."
01100201.20200716153436001,"세하는 주식회사페이퍼월드 및 특별관계자의 지분율이 5.01%에서 8.95%로 변동했다고 16일 공시했다. 한편, 세하는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,690원, 거래량은 170,833주로, 직전 거래일 대비 85원(+5.3%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 .."
